id	filename	chemicalWikipediaPage	diagram	bloodTestWikipediaPage	testAtLab	testAtHome	testByMail	aka	bottom	top	canTestAtHome	endogenous
Bilirubin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Bilirubin	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5280352/PNG	https://en.wikipedia.org/wiki/Bilirubin_test	https://www.ondemand.labcorp.com/lab-tests/bilirubin-total				0.003	0.02	false	
Alkaline Phosphatase	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alkaline_phosphatase	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/1ALK_Alkaline_Phosphatase.png/800px-1ALK_Alkaline_Phosphatase.png	https://en.wikipedia.org/wiki/Alkaline_phosphatase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/alkaline-phosphatase-alp				0.5	1.5	false	
Aspartate Aminotransferase (AST)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Aspartate_transaminase	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/AST_dimer.png/800px-AST_dimer.png	https://en.wikipedia.org/wiki/Aspartate_transaminase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/aspartate-aminotransferase-ast				0.008	0.04	false	
Alanine Aminotransferase (ALT)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alanine_transaminase	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Protein_ALT_PDB_1zgy.png/800px-Protein_ALT_PDB_1zgy.png	https://en.wikipedia.org/wiki/Alanine_transaminase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/alanine-aminotransferase-alt				0.007	0.056	false	
Gamma-Glutamyl Transferase (GGT)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Gamma-glutamyltransferase	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/PDB_2z8x_EBI.jpg/800px-PDB_2z8x_EBI.jpg	https://en.wikipedia.org/wiki/Gamma-glutamyl_transferase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/gamma-glutamyl-transferase-ggt				0.007	0.05	false	
Thyroid Stimulating Hormone (TSH)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Thyroid-stimulating_hormone	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Thyrotropin.png/800px-Thyrotropin.png	https://en.wikipedia.org/wiki/Thyroid_function_tests#TSH_test	https://www.ondemand.labcorp.com/lab-tests/thyroid-stimulating-hormone-tsh				0.0006	0.005	false	
Free Thyroxine (Free T4)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Thyroxine	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/L-Thyroxine.svg/1920px-L-Thyroxine.svg.png	https://en.wikipedia.org/wiki/Thyroid_function_tests#Free_T4	https://www.ondemand.labcorp.com/lab-tests/free-thyroxine-free-t4				0.012	0.022	false	
Vitamin D	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Vitamin_D	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cholecalciferol.svg/1920px-Cholecalciferol.svg.png	https://en.wikipedia.org/wiki/Vitamin_D#Testing	https://www.ondemand.labcorp.com/lab-tests/vitamin-d-25-hydroxy	https://www.everlywell.com/products/vitamin-d-test/			0.05	0.15	true	
Vitamin B12	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Vitamin_B12	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cobalamin.png/1920px-Cobalamin.png	https://en.wikipedia.org/wiki/Vitamin_B12_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/vitamin-b12	https://www.letsgetchecked.com/us/en/home-vitamin-test/			0.0002	0.0007	true	
Folic Acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Folic_acid	https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Folic_acid.svg/1920px-Folic_acid.svg.png	https://en.wikipedia.org/wiki/Folate_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/folate				0.0067	0.047	false	
C-Reactive Protein (CRP)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/C-reactive_protein	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/C-reactive_protein_pentamer_from_PDB_1b09.png/800px-C-reactive_protein_pentamer_from_PDB_1b09.png	https://en.wikipedia.org/wiki/C-reactive_protein#Blood_test	https://www.ondemand.labcorp.com/lab-tests/c-reactive-protein-crp-high-sensitivity				0.008	0.01	false	
Erythrocyte Sedimentation Rate (ESR)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Westergren_ESR_tube.JPG/800px-Westergren_ESR_tube.JPG	https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate	https://www.ondemand.labcorp.com/lab-tests/sedimentation-rate-esr-westergren				0.04	0.2	false	
Lactate Dehydrogenase (LDH)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Lactate_dehydrogenase	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ldh_1i10.png/800px-Ldh_1i10.png	https://en.wikipedia.org/wiki/Lactate_dehydrogenase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/lactate-dehydrogenase-ldh				1.67	3.17	false	
Cortisol	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Cortisol	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Cortisol2.svg/1920px-Cortisol2.svg.png	https://en.wikipedia.org/wiki/Cortisol#Testing	https://www.ondemand.labcorp.com/lab-tests/cortisol-am				0.14	0.69	false	
Testosterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Testosterone	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Testosterone.svg/1920px-Testosterone.svg.png	https://en.wikipedia.org/wiki/Testosterone#Testing	https://www.ondemand.labcorp.com/lab-tests/testosterone-total				0.01	0.03	false	
Estradiol	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Estradiol	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estradiol.svg/1920px-Estradiol.svg.png	https://en.wikipedia.org/wiki/Estradiol_test	https://www.ondemand.labcorp.com/lab-tests/estradiol				0.000037	0.000147	false	
Progesterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Progesterone	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Progesteron.svg/1920px-Progesteron.svg.png	https://en.wikipedia.org/wiki/Progesterone_test	https://www.ondemand.labcorp.com/lab-tests/progesterone				0.0032	0.086	false	
Prolactin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Prolactin	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Protein_PRL_PDB_1n9d.png/800px-Protein_PRL_PDB_1n9d.png	https://en.wikipedia.org/wiki/Prolactin#Hyperprolactinaemia	https://www.ondemand.labcorp.com/lab-tests/prolactin				0.000087	0.00019	false	
Ferritin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ferritin	https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Ferritin.png/800px-Ferritin.png	https://en.wikipedia.org/wiki/Ferritin_test	https://www.ondemand.labcorp.com/lab-tests/ferritin				0.000067	0.0004	false	
Homocysteine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Homocysteine	https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Homocysteine-2D-skeletal.png/1920px-Homocysteine-2D-skeletal.png	https://en.wikipedia.org/wiki/Homocysteine#Blood_tests	https://www.ondemand.labcorp.com/lab-tests/homocysteine				0.005	0.015	false	
Lipase	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Lipase	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Lipase_1lpa.png/800px-Lipase_1lpa.png	https://en.wikipedia.org/wiki/Lipase_test	https://www.ondemand.labcorp.com/lab-tests/lipase				0.00012	0.00075	false	
Amylase	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Amylase	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Amylase_1smda.png/800px-Amylase_1smda.png	https://en.wikipedia.org/wiki/Amylase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/amylase				0.0012	0.0053	false	
Ceruloplasmin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ceruloplasmin	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Protein_CP_PDB_1kcw.png/800px-Protein_CP_PDB_1kcw.png	https://en.wikipedia.org/wiki/Ceruloplasmin#Measurement	https://www.ondemand.labcorp.com/lab-tests/ceruloplasmin				0.0015	0.006	false	
Ammonia	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ammonia	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ammonia-3D-balls.png/800px-Ammonia-3D-balls.png	https://en.wikipedia.org/wiki/Hyperammonemia#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/ammonia				0.011	0.051	false	
Beta-2 Microglobulin (B2M)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Beta-2_microglobulin	https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/B2MG_dimer.png/800px-B2MG_dimer.png	https://en.wikipedia.org/wiki/Beta-2_microglobulin#Blood_test	https://www.ondemand.labcorp.com/lab-tests/beta-2-microglobulin-b2m				0.001	0.003	false	
Copper	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Copper	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23978/PNG	https://en.wikipedia.org/wiki/Copper_in_health#Blood_test	https://www.ondemand.labcorp.com/lab-tests/copper-serum				0.0118	0.0236	false	
Pyruvate	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Pyruvic_acid	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/107735/PNG	https://en.wikipedia.org/wiki/Pyruvic_acid#Blood_test	https://www.mayocliniclabs.com/test-catalog/Clinical+and+Interpretive/8663				0.03	0.1	false	
Uric Acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Uric_acid	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1175/PNG	https://en.wikipedia.org/wiki/Uric_acid#Blood_test	https://www.ondemand.labcorp.com/lab-tests/uric-acid				0.18	0.42	false	
Zinc	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Zinc	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23994/PNG	https://en.wikipedia.org/wiki/Zinc#Deficiency	https://www.ondemand.labcorp.com/lab-tests/zinc				0.0076	0.0153	false	
Creatine Kinase	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Creatine_kinase	https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Creatine_kinase.png/800px-Creatine_kinase.png	https://en.wikipedia.org/wiki/Creatine_kinase#Blood_test	https://www.ondemand.labcorp.com/lab-tests/creatine-kinase-ck-cpk				0.22	3.33	false	
Troponin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Troponin	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Troponin_Complex_2.png/800px-Troponin_Complex_2.png	https://en.wikipedia.org/wiki/Troponin_test	https://www.ondemand.labcorp.com/lab-tests/troponin-i				0	0.0004	false	
Folate (Serum)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Folate	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/135398658/PNG	https://en.wikipedia.org/wiki/Folate_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/folate				0.0067	0.047	false	
Vitamin A	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Vitamin_A	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/445354/PNG	https://en.wikipedia.org/wiki/Vitamin_A_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/vitamin-a				0.0007	0.0036	false	
Vitamin C	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Vitamin_C	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/54670067/PNG	https://en.wikipedia.org/wiki/Vitamin_C_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/vitamin-c				0.023	0.085	false	
Alpha Fetoprotein	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alpha-fetoprotein	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Protein_AFP_PDB_1e7a.png/800px-Protein_AFP_PDB_1e7a.png	https://en.wikipedia.org/wiki/Alpha-fetoprotein_test	https://www.ondemand.labcorp.com/lab-tests/alpha-fetoprotein-tumor-marker				0	0.000008	false	
Beta Human Chorionic Gonadotropin (HCG)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Chorionic_gonadotropin_PDB_1hrp.png/800px-Chorionic_gonadotropin_PDB_1hrp.png	https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin#Blood_test	https://www.ondemand.labcorp.com/lab-tests/hcg-quantitative-pregnancy				0	0.005	true	
CA19.9	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/CA19-9	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/CA19-9.svg/1920px-CA19-9.svg.png	https://en.wikipedia.org/wiki/CA19-9#Blood_test	https://www.ondemand.labcorp.com/lab-tests/cancer-antigen-19-9				0	0.000037	false	
Carcinoembryonic Antigen (CEA)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Carcinoembryonic_antigen	https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Protein_CEA_PDB_2qy0.png/800px-Protein_CEA_PDB_2qy0.png	https://en.wikipedia.org/wiki/Carcinoembryonic_antigen#Blood_test	https://www.ondemand.labcorp.com/lab-tests/carcinoembryonic-antigen-cea				0	0.0000025	false	
Prostatic Acid Phosphatase (PAP)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Prostatic_acid_phosphatase	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Protein_ACPP_PDB_1nd6.png/800px-Protein_ACPP_PDB_1nd6.png	https://en.wikipedia.org/wiki/Prostatic_acid_phosphatase#Medical_uses	https://www.ondemand.labcorp.com/lab-tests/prostatic-acid-phosphatase-pap				0	0.002	false	
Prostate-Specific Antigen (PSA)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Prostate-specific_antigen	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Protein_KLK3_PDB_2zch.png/800px-Protein_KLK3_PDB_2zch.png	https://en.wikipedia.org/wiki/Prostate-specific_antigen#Blood_test	https://www.ondemand.labcorp.com/lab-tests/prostate-specific-antigen-psa-total				0	0.004	false	
Alpha 1-Antitrypsin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alpha-1_antitrypsin	https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Protein_SERPINA1_PDB_1hp7.png/800px-Protein_SERPINA1_PDB_1hp7.png	https://en.wikipedia.org/wiki/Alpha_1-antitrypsin_deficiency#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/alpha-1-antitrypsin				0.02	0.048	false	
Angiotensin-Converting Enzyme	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme	https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Protein_ACE_PDB_2c6f.png/800px-Protein_ACE_PDB_2c6f.png	https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme#Blood_test	https://www.ondemand.labcorp.com/lab-tests/angiotensin-converting-enzyme-ace				0.01	0.085	false	
D-Dimer	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/D-dimer	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Fibrin_fragment_D-dimer.png/800px-Fibrin_fragment_D-dimer.png	https://en.wikipedia.org/wiki/D-dimer_test	https://www.ondemand.labcorp.com/lab-tests/d-dimer-quantitative				0	0.0005	false	
Lead	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Lead	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5352425/PNG	https://en.wikipedia.org/wiki/Lead_poisoning#Diagnosis	https://www.ondemand.labcorp.com/lab-tests/lead				0	0.00024	false	
Rheumatoid Factor	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Rheumatoid_factor	https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/IgM_Pentamer.svg/1280px-IgM_Pentamer.svg.png	https://en.wikipedia.org/wiki/Rheumatoid_factor#Blood_test	https://www.ondemand.labcorp.com/lab-tests/rheumatoid-factor				0	0.015	false	
Triiodothyronine (T3)	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Triiodothyronine	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5920/PNG	https://en.wikipedia.org/wiki/Thyroid_function_tests#T3	https://www.ondemand.labcorp.com/lab-tests/t3-total				0.0012	0.003	false	
Acetoacetate	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Acetoacetate	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/96/PNG						0.004	0.043	false	
Acetone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Acetone							0.003	0.02	false	
Acetylcholine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Acetylcholine							0.0000066	0.0000082	false	
Adrenocorticotropic Hormone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone							2.5e-8	1.2e-7	false	
Alanine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alanine							0.000024	0.000076	false	
Aluminum	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Aluminium							1e-8	8.8e-7	false	
Aldosterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Aldosterone							3e-9	3e-8	false	
alpha-Aminobutyric acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alpha-Aminobutyric_acid							0.000001	0.000002	false	
δ-Aminolevulinic acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Aminolevulinic_acid							1.5e-7	2.3e-7	false	
Ammonia	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ammonia							1e-7	4.9e-7	false	
Androstenedione	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Androstenedione							2e-10	3e-9	false	
Androsterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Androsterone							1.5e-7	1.5e-7	false	
Angiotensin I	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Angiotensin_I							1.1e-11	8.8e-11	false	
Angiotensin II	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Angiotensin_II							1.2e-12	3.6e-12	false	
Arginine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Arginine							0.000013	0.000036	false	
Arsenic	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Arsenic							2e-9	0.0000093	false	
Aspartic acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Aspartic_acid							0.000009	0.000012	false	
Bile acids	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Bile_acid							0.000003	0.00003	false	
Biotin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Biotin							9e-9	1.6e-8	false	
Bradykinin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Bradykinin							7e-11	7e-11	false	
Bromide	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Bromide							7e-9	1e-8	false	
Cadmium	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Cadmium							1e-9	0.000003	false	
Calcitonin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Calcitonin							1e-10	1e-10	false	
Carcinoembryonic antigen	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Carcinoembryonic_antigen							0	2.5e-9	false	
beta-Carotene	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Beta-Carotene							3e-7	0.0000025	false	
Ceruloplasmin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ceruloplasmin							0.00015	0.0006	false	
Cholecystokinin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Cholecystokinin							6.04e-11	6.04e-11	false	
Citric acid	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Citric_acid							0.000016	0.000032	false	
Citrulline	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Citrulline							0.000002	0.00001	false	
Compound S	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/21-Hydroxypregnenolone							1e-9	3e-9	false	
Corticosterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Corticosterone							4e-9	2e-8	false	
C-peptide	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Connecting_peptide							5e-10	4e-9	false	
Cyanide	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Cyanide							4e-9	0.000001	false	
Cysteine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Cysteine							0.000018	0.00005	false	
Dehydroepiandrosterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Dehydroepiandrosterone							2e-10	2e-8	false	
Dihydrotestosterone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Dihydrotestosterone							1e-9	8e-9	false	
11-Deoxycortisol	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/11-Deoxycortisol							1e-8	7e-8	false	
Dopamine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Dopamine							0	1.36e-10	false	
Epidermal growth factor	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Epidermal_growth_factor							0	1e-11	false	
Ergothioneine	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Ergothioneine							0.00001	0.00002	false	
Erythropoietin	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Erythropoietin							5e-10	8e-8	false	
Estriol	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Estriol							0	0.00017	false	
Estrone	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Estrone							2.9e-9	1e-8	false	
alpha-1-Fetoprotein	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Alpha-fetoprotein							0	2e-8	false	
Flavin adenine dinucleotide	chemicalBloodTests.scroll	https://en.wikipedia.org/wiki/Flavin_adenine_dinucleotide							8e-8	1.2e-7	false	
