Chemical Blood Tests Dataset
============================

printViewSource

This file generates a TSV dataset of blood chemistry tests. I created it for the blog post "Ketones vs Lithium".
 https://breckyunits.com/chemicalBloodTests.tsv TSV
 https://breckyunits.com/chemicalBloodTests.scroll This file
 https://breckyunits.com/../ketonesVsLithium.html Ketones vs Lithium

It is specific to blood chemistry tests. So there are no urine tests. And it is not about blood cell tests. And it does not gain blood gas tests. Generally it is a collection of information on levels of chemicals in blood plasma.

This dataset was created to see how common it is for the target levels of certain chemicals in blood to fall between 0.8 and 3.0 mmol/L.

At some point, I would like to add fields to get some measure on how popular each test is. Also, I want to add categories for each test (ie, electrolytes, Hormones, etc), and what the test method is (for example, Ion-Selective Electrode, Atomic Absorption Spectroscopy, Inductively Coupled Plasma Mass Spectrometry or Flame Emission Spectroscopy). I also want to add chemical formulas. It is likely that all the measures I would want to add are already present in HMDB.
 https://hmdb.ca/metabolites?utf8=%E2%9C%93&filter=true&quantified=1&blood=1&filter=true HMDB

id,bottom,top,chemicalWikipediaPage,diagram,bloodTestWikipediaPage,testAtLab,testAtHome,testByMail,aka,canTestAtHome,endogenous
Bilirubin,0.003,0.02,https://en.wikipedia.org/wiki/Bilirubin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5280352/PNG,https://en.wikipedia.org/wiki/Bilirubin_test,https://www.ondemand.labcorp.com/lab-tests/bilirubin-total,,,,false,
Alkaline Phosphatase,0.5,1.5,https://en.wikipedia.org/wiki/Alkaline_phosphatase,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/1ALK_Alkaline_Phosphatase.png/800px-1ALK_Alkaline_Phosphatase.png,https://en.wikipedia.org/wiki/Alkaline_phosphatase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/alkaline-phosphatase-alp,,,,false,
Aspartate Aminotransferase (AST),0.008,0.04,https://en.wikipedia.org/wiki/Aspartate_transaminase,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/AST_dimer.png/800px-AST_dimer.png,https://en.wikipedia.org/wiki/Aspartate_transaminase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/aspartate-aminotransferase-ast,,,,false,
Alanine Aminotransferase (ALT),0.007,0.056,https://en.wikipedia.org/wiki/Alanine_transaminase,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Protein_ALT_PDB_1zgy.png/800px-Protein_ALT_PDB_1zgy.png,https://en.wikipedia.org/wiki/Alanine_transaminase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/alanine-aminotransferase-alt,,,,false,
Gamma-Glutamyl Transferase (GGT),0.007,0.05,https://en.wikipedia.org/wiki/Gamma-glutamyltransferase,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/PDB_2z8x_EBI.jpg/800px-PDB_2z8x_EBI.jpg,https://en.wikipedia.org/wiki/Gamma-glutamyl_transferase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/gamma-glutamyl-transferase-ggt,,,,false,
Thyroid Stimulating Hormone (TSH),0.0006,0.005,https://en.wikipedia.org/wiki/Thyroid-stimulating_hormone,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Thyrotropin.png/800px-Thyrotropin.png,https://en.wikipedia.org/wiki/Thyroid_function_tests#TSH_test,https://www.ondemand.labcorp.com/lab-tests/thyroid-stimulating-hormone-tsh,,,,false,
Free Thyroxine (Free T4),0.012,0.022,https://en.wikipedia.org/wiki/Thyroxine,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/L-Thyroxine.svg/1920px-L-Thyroxine.svg.png,https://en.wikipedia.org/wiki/Thyroid_function_tests#Free_T4,https://www.ondemand.labcorp.com/lab-tests/free-thyroxine-free-t4,,,,false,
Vitamin D,0.05,0.15,https://en.wikipedia.org/wiki/Vitamin_D,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cholecalciferol.svg/1920px-Cholecalciferol.svg.png,https://en.wikipedia.org/wiki/Vitamin_D#Testing,https://www.ondemand.labcorp.com/lab-tests/vitamin-d-25-hydroxy,https://www.everlywell.com/products/vitamin-d-test/,,,true,
Vitamin B12,0.0002,0.0007,https://en.wikipedia.org/wiki/Vitamin_B12,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cobalamin.png/1920px-Cobalamin.png,https://en.wikipedia.org/wiki/Vitamin_B12_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/vitamin-b12,https://www.letsgetchecked.com/us/en/home-vitamin-test/,,,true,
Folic Acid,0.0067,0.047,https://en.wikipedia.org/wiki/Folic_acid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Folic_acid.svg/1920px-Folic_acid.svg.png,https://en.wikipedia.org/wiki/Folate_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/folate,,,,false,
C-Reactive Protein (CRP),0.008,0.01,https://en.wikipedia.org/wiki/C-reactive_protein,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/C-reactive_protein_pentamer_from_PDB_1b09.png/800px-C-reactive_protein_pentamer_from_PDB_1b09.png,https://en.wikipedia.org/wiki/C-reactive_protein#Blood_test,https://www.ondemand.labcorp.com/lab-tests/c-reactive-protein-crp-high-sensitivity,,,,false,
Erythrocyte Sedimentation Rate (ESR),0.04,0.2,https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Westergren_ESR_tube.JPG/800px-Westergren_ESR_tube.JPG,https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate,https://www.ondemand.labcorp.com/lab-tests/sedimentation-rate-esr-westergren,,,,false,
Lactate Dehydrogenase (LDH),1.67,3.17,https://en.wikipedia.org/wiki/Lactate_dehydrogenase,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ldh_1i10.png/800px-Ldh_1i10.png,https://en.wikipedia.org/wiki/Lactate_dehydrogenase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/lactate-dehydrogenase-ldh,,,,false,
Cortisol,0.14,0.69,https://en.wikipedia.org/wiki/Cortisol,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Cortisol2.svg/1920px-Cortisol2.svg.png,https://en.wikipedia.org/wiki/Cortisol#Testing,https://www.ondemand.labcorp.com/lab-tests/cortisol-am,,,,false,
Testosterone,0.01,0.03,https://en.wikipedia.org/wiki/Testosterone,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Testosterone.svg/1920px-Testosterone.svg.png,https://en.wikipedia.org/wiki/Testosterone#Testing,https://www.ondemand.labcorp.com/lab-tests/testosterone-total,,,,false,
Estradiol,0.000037,0.000147,https://en.wikipedia.org/wiki/Estradiol,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estradiol.svg/1920px-Estradiol.svg.png,https://en.wikipedia.org/wiki/Estradiol_test,https://www.ondemand.labcorp.com/lab-tests/estradiol,,,,false,
Progesterone,0.0032,0.086,https://en.wikipedia.org/wiki/Progesterone,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Progesteron.svg/1920px-Progesteron.svg.png,https://en.wikipedia.org/wiki/Progesterone_test,https://www.ondemand.labcorp.com/lab-tests/progesterone,,,,false,
Prolactin,0.000087,0.00019,https://en.wikipedia.org/wiki/Prolactin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Protein_PRL_PDB_1n9d.png/800px-Protein_PRL_PDB_1n9d.png,https://en.wikipedia.org/wiki/Prolactin#Hyperprolactinaemia,https://www.ondemand.labcorp.com/lab-tests/prolactin,,,,false,
Ferritin,0.000067,0.0004,https://en.wikipedia.org/wiki/Ferritin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Ferritin.png/800px-Ferritin.png,https://en.wikipedia.org/wiki/Ferritin_test,https://www.ondemand.labcorp.com/lab-tests/ferritin,,,,false,
Homocysteine,0.005,0.015,https://en.wikipedia.org/wiki/Homocysteine,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Homocysteine-2D-skeletal.png/1920px-Homocysteine-2D-skeletal.png,https://en.wikipedia.org/wiki/Homocysteine#Blood_tests,https://www.ondemand.labcorp.com/lab-tests/homocysteine,,,,false,
Lipase,0.00012,0.00075,https://en.wikipedia.org/wiki/Lipase,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Lipase_1lpa.png/800px-Lipase_1lpa.png,https://en.wikipedia.org/wiki/Lipase_test,https://www.ondemand.labcorp.com/lab-tests/lipase,,,,false,
Amylase,0.0012,0.0053,https://en.wikipedia.org/wiki/Amylase,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Amylase_1smda.png/800px-Amylase_1smda.png,https://en.wikipedia.org/wiki/Amylase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/amylase,,,,false,
Ceruloplasmin,0.0015,0.006,https://en.wikipedia.org/wiki/Ceruloplasmin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Protein_CP_PDB_1kcw.png/800px-Protein_CP_PDB_1kcw.png,https://en.wikipedia.org/wiki/Ceruloplasmin#Measurement,https://www.ondemand.labcorp.com/lab-tests/ceruloplasmin,,,,false,
Ammonia,0.011,0.051,https://en.wikipedia.org/wiki/Ammonia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ammonia-3D-balls.png/800px-Ammonia-3D-balls.png,https://en.wikipedia.org/wiki/Hyperammonemia#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/ammonia,,,,false,
Beta-2 Microglobulin (B2M),0.001,0.003,https://en.wikipedia.org/wiki/Beta-2_microglobulin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/B2MG_dimer.png/800px-B2MG_dimer.png,https://en.wikipedia.org/wiki/Beta-2_microglobulin#Blood_test,https://www.ondemand.labcorp.com/lab-tests/beta-2-microglobulin-b2m,,,,false,
Copper,0.0118,0.0236,https://en.wikipedia.org/wiki/Copper,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23978/PNG,https://en.wikipedia.org/wiki/Copper_in_health#Blood_test,https://www.ondemand.labcorp.com/lab-tests/copper-serum,,,,false,
Pyruvate,0.03,0.1,https://en.wikipedia.org/wiki/Pyruvic_acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/107735/PNG,https://en.wikipedia.org/wiki/Pyruvic_acid#Blood_test,https://www.mayocliniclabs.com/test-catalog/Clinical+and+Interpretive/8663,,,,false,
Uric Acid,0.18,0.42,https://en.wikipedia.org/wiki/Uric_acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1175/PNG,https://en.wikipedia.org/wiki/Uric_acid#Blood_test,https://www.ondemand.labcorp.com/lab-tests/uric-acid,,,,false,
Zinc,0.0076,0.0153,https://en.wikipedia.org/wiki/Zinc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23994/PNG,https://en.wikipedia.org/wiki/Zinc#Deficiency,https://www.ondemand.labcorp.com/lab-tests/zinc,,,,false,
Creatine Kinase,0.22,3.33,https://en.wikipedia.org/wiki/Creatine_kinase,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Creatine_kinase.png/800px-Creatine_kinase.png,https://en.wikipedia.org/wiki/Creatine_kinase#Blood_test,https://www.ondemand.labcorp.com/lab-tests/creatine-kinase-ck-cpk,,,,false,
Troponin,0,0.0004,https://en.wikipedia.org/wiki/Troponin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Troponin_Complex_2.png/800px-Troponin_Complex_2.png,https://en.wikipedia.org/wiki/Troponin_test,https://www.ondemand.labcorp.com/lab-tests/troponin-i,,,,false,
Folate (Serum),0.0067,0.047,https://en.wikipedia.org/wiki/Folate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/135398658/PNG,https://en.wikipedia.org/wiki/Folate_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/folate,,,,false,
Vitamin A,0.0007,0.0036,https://en.wikipedia.org/wiki/Vitamin_A,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/445354/PNG,https://en.wikipedia.org/wiki/Vitamin_A_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/vitamin-a,,,,false,
Vitamin C,0.023,0.085,https://en.wikipedia.org/wiki/Vitamin_C,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/54670067/PNG,https://en.wikipedia.org/wiki/Vitamin_C_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/vitamin-c,,,,false,
Alpha Fetoprotein,0,0.000008,https://en.wikipedia.org/wiki/Alpha-fetoprotein,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Protein_AFP_PDB_1e7a.png/800px-Protein_AFP_PDB_1e7a.png,https://en.wikipedia.org/wiki/Alpha-fetoprotein_test,https://www.ondemand.labcorp.com/lab-tests/alpha-fetoprotein-tumor-marker,,,,false,
Beta Human Chorionic Gonadotropin (HCG),0,0.005,https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Chorionic_gonadotropin_PDB_1hrp.png/800px-Chorionic_gonadotropin_PDB_1hrp.png,https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin#Blood_test,https://www.ondemand.labcorp.com/lab-tests/hcg-quantitative-pregnancy,,,,true,
CA19.9,0,0.000037,https://en.wikipedia.org/wiki/CA19-9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/CA19-9.svg/1920px-CA19-9.svg.png,https://en.wikipedia.org/wiki/CA19-9#Blood_test,https://www.ondemand.labcorp.com/lab-tests/cancer-antigen-19-9,,,,false,
Carcinoembryonic Antigen (CEA),0,0.0000025,https://en.wikipedia.org/wiki/Carcinoembryonic_antigen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Protein_CEA_PDB_2qy0.png/800px-Protein_CEA_PDB_2qy0.png,https://en.wikipedia.org/wiki/Carcinoembryonic_antigen#Blood_test,https://www.ondemand.labcorp.com/lab-tests/carcinoembryonic-antigen-cea,,,,false,
Prostatic Acid Phosphatase (PAP),0,0.002,https://en.wikipedia.org/wiki/Prostatic_acid_phosphatase,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Protein_ACPP_PDB_1nd6.png/800px-Protein_ACPP_PDB_1nd6.png,https://en.wikipedia.org/wiki/Prostatic_acid_phosphatase#Medical_uses,https://www.ondemand.labcorp.com/lab-tests/prostatic-acid-phosphatase-pap,,,,false,
Prostate-Specific Antigen (PSA),0,0.004,https://en.wikipedia.org/wiki/Prostate-specific_antigen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Protein_KLK3_PDB_2zch.png/800px-Protein_KLK3_PDB_2zch.png,https://en.wikipedia.org/wiki/Prostate-specific_antigen#Blood_test,https://www.ondemand.labcorp.com/lab-tests/prostate-specific-antigen-psa-total,,,,false,
Alpha 1-Antitrypsin,0.02,0.048,https://en.wikipedia.org/wiki/Alpha-1_antitrypsin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Protein_SERPINA1_PDB_1hp7.png/800px-Protein_SERPINA1_PDB_1hp7.png,https://en.wikipedia.org/wiki/Alpha_1-antitrypsin_deficiency#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/alpha-1-antitrypsin,,,,false,
Angiotensin-Converting Enzyme,0.01,0.085,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Protein_ACE_PDB_2c6f.png/800px-Protein_ACE_PDB_2c6f.png,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme#Blood_test,https://www.ondemand.labcorp.com/lab-tests/angiotensin-converting-enzyme-ace,,,,false,
D-Dimer,0,0.0005,https://en.wikipedia.org/wiki/D-dimer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Fibrin_fragment_D-dimer.png/800px-Fibrin_fragment_D-dimer.png,https://en.wikipedia.org/wiki/D-dimer_test,https://www.ondemand.labcorp.com/lab-tests/d-dimer-quantitative,,,,false,
Lead,0,0.00024,https://en.wikipedia.org/wiki/Lead,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5352425/PNG,https://en.wikipedia.org/wiki/Lead_poisoning#Diagnosis,https://www.ondemand.labcorp.com/lab-tests/lead,,,,false,
Rheumatoid Factor,0,0.015,https://en.wikipedia.org/wiki/Rheumatoid_factor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/IgM_Pentamer.svg/1280px-IgM_Pentamer.svg.png,https://en.wikipedia.org/wiki/Rheumatoid_factor#Blood_test,https://www.ondemand.labcorp.com/lab-tests/rheumatoid-factor,,,,false,
Triiodothyronine (T3),0.0012,0.003,https://en.wikipedia.org/wiki/Triiodothyronine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5920/PNG,https://en.wikipedia.org/wiki/Thyroid_function_tests#T3,https://www.ondemand.labcorp.com/lab-tests/t3-total,,,,false,
Acetoacetate,0.004,0.043,https://en.wikipedia.org/wiki/Acetoacetate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/96/PNG,,,,,,false,
Acetone,0.003,0.02,https://en.wikipedia.org/wiki/Acetone,,,,,,,false,
Acetylcholine,0.0000066,0.0000082,https://en.wikipedia.org/wiki/Acetylcholine,,,,,,,false,
Adrenocorticotropic Hormone,2.5e-8,1.2e-7,https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone,,,,,,,false,
Alanine,0.000024,0.000076,https://en.wikipedia.org/wiki/Alanine,,,,,,,false,
Aluminum,1e-8,8.8e-7,https://en.wikipedia.org/wiki/Aluminium,,,,,,,false,
Aldosterone,3e-9,3e-8,https://en.wikipedia.org/wiki/Aldosterone,,,,,,,false,
alpha-Aminobutyric acid,0.000001,0.000002,https://en.wikipedia.org/wiki/Alpha-Aminobutyric_acid,,,,,,,false,
δ-Aminolevulinic acid,1.5e-7,2.3e-7,https://en.wikipedia.org/wiki/Aminolevulinic_acid,,,,,,,false,
Ammonia,1e-7,4.9e-7,https://en.wikipedia.org/wiki/Ammonia,,,,,,,false,
Androstenedione,2e-10,3e-9,https://en.wikipedia.org/wiki/Androstenedione,,,,,,,false,
Androsterone,1.5e-7,1.5e-7,https://en.wikipedia.org/wiki/Androsterone,,,,,,,false,
Angiotensin I,1.1e-11,8.8e-11,https://en.wikipedia.org/wiki/Angiotensin_I,,,,,,,false,
Angiotensin II,1.2e-12,3.6e-12,https://en.wikipedia.org/wiki/Angiotensin_II,,,,,,,false,
Arginine,0.000013,0.000036,https://en.wikipedia.org/wiki/Arginine,,,,,,,false,
Arsenic,2e-9,0.0000093,https://en.wikipedia.org/wiki/Arsenic,,,,,,,false,
Aspartic acid,0.000009,0.000012,https://en.wikipedia.org/wiki/Aspartic_acid,,,,,,,false,
Bile acids,0.000003,0.00003,https://en.wikipedia.org/wiki/Bile_acid,,,,,,,false,
Biotin,9e-9,1.6e-8,https://en.wikipedia.org/wiki/Biotin,,,,,,,false,
Bradykinin,7e-11,7e-11,https://en.wikipedia.org/wiki/Bradykinin,,,,,,,false,
Bromide,7e-9,1e-8,https://en.wikipedia.org/wiki/Bromide,,,,,,,false,
Cadmium,1e-9,0.000003,https://en.wikipedia.org/wiki/Cadmium,,,,,,,false,
Calcitonin,1e-10,1e-10,https://en.wikipedia.org/wiki/Calcitonin,,,,,,,false,
Carcinoembryonic antigen,0,2.5e-9,https://en.wikipedia.org/wiki/Carcinoembryonic_antigen,,,,,,,false,
beta-Carotene,3e-7,0.0000025,https://en.wikipedia.org/wiki/Beta-Carotene,,,,,,,false,
Ceruloplasmin,0.00015,0.0006,https://en.wikipedia.org/wiki/Ceruloplasmin,,,,,,,false,
Cholecystokinin,6.04e-11,6.04e-11,https://en.wikipedia.org/wiki/Cholecystokinin,,,,,,,false,
Citric acid,0.000016,0.000032,https://en.wikipedia.org/wiki/Citric_acid,,,,,,,false,
Citrulline,0.000002,0.00001,https://en.wikipedia.org/wiki/Citrulline,,,,,,,false,
Compound S,1e-9,3e-9,https://en.wikipedia.org/wiki/21-Hydroxypregnenolone,,,,,,,false,
Corticosterone,4e-9,2e-8,https://en.wikipedia.org/wiki/Corticosterone,,,,,,,false,
C-peptide,5e-10,4e-9,https://en.wikipedia.org/wiki/Connecting_peptide,,,,,,,false,
Cyanide,4e-9,0.000001,https://en.wikipedia.org/wiki/Cyanide,,,,,,,false,
Cysteine,0.000018,0.00005,https://en.wikipedia.org/wiki/Cysteine,,,,,,,false,
Dehydroepiandrosterone,2e-10,2e-8,https://en.wikipedia.org/wiki/Dehydroepiandrosterone,,,,,,,false,
Dihydrotestosterone,1e-9,8e-9,https://en.wikipedia.org/wiki/Dihydrotestosterone,,,,,,,false,
11-Deoxycortisol,1e-8,7e-8,https://en.wikipedia.org/wiki/11-Deoxycortisol,,,,,,,false,
Dopamine,0,1.36e-10,https://en.wikipedia.org/wiki/Dopamine,,,,,,,false,
Epidermal growth factor,0,1e-11,https://en.wikipedia.org/wiki/Epidermal_growth_factor,,,,,,,false,
Ergothioneine,0.00001,0.00002,https://en.wikipedia.org/wiki/Ergothioneine,,,,,,,false,
Erythropoietin,5e-10,8e-8,https://en.wikipedia.org/wiki/Erythropoietin,,,,,,,false,
Estriol,0,0.00017,https://en.wikipedia.org/wiki/Estriol,,,,,,,false,
Estrone,2.9e-9,1e-8,https://en.wikipedia.org/wiki/Estrone,,,,,,,false,
alpha-1-Fetoprotein,0,2e-8,https://en.wikipedia.org/wiki/Alpha-fetoprotein,,,,,,,false,
Flavin adenine dinucleotide,8e-8,1.2e-7,https://en.wikipedia.org/wiki/Flavin_adenine_dinucleotide,,,,,,,false,
Fluoride,1e-7,4.5e-7,https://en.wikipedia.org/wiki/Fluoride,,,,,,,false,
Fructose,0.00007,0.00008,https://en.wikipedia.org/wiki/Fructose,,,,,,,false,
